1,6-May-19,jtindahouse,75,127,4,Time travel is such a lazy way to write stories,"Only a month or so back I was talking to a friend about how much I hate it when serious movies use time travel to get their characters out of problems. I have no problem with movies like 'Back to the Future' or 'Hot Tub Time Machine' that are both comedy based and use the time machine as a plot for the movie as opposed to a solution for characters problems. When a serious movie uses it though it as lazy as writing as dream sequence in my opinion.At the end of the day though that just underlines the problem with these movies. The heroes are far too powerful. Whatever power they need they simply possess conveniently. Heck, 'Dr Strange' can even see into the future to know exactly what to do to make sure everything turns out alright. If that isn't the stupidest thing I've ever seen in a movie I don't know what is.I felt like the movie went very much as expected as well. Sure some characters die, however they were pretty much telegraphed to do so long before the movie came out. There also seemed to be a lack of conflict as key moments. A lot of things went far too smoothly for my liking in terms of the plan. Finally, the ending with 'Iron Man' simply pulling the glove off 'Thanos' - what the hell was that? Was that supposed to be clever writing? 'Thanos' just standing there for an eternity doing nothing waiting for someone to stop him?A lot of the jokes failed to land too. This was a surprisingly unfunny movie. In a 3 hour movie I got maybe 3 light chuckles out of the film. Every joke just felt so forced and some of the characters who don't have a comedy background delivered them very poorly. 'Avengers: Endgame' is three hours of my life I would like back."
2,13-May-19,arclinecreative,100,170,3,Overrated and full of filler,"Continuity? 350M budget and no one looking over the continuity? Hair styles, braided beard..unbraided...braided again? You need special equipment and suits to time travel, but not the bad guys who follow? No one traveling through time ages except Captain America??? SO many dragged out scenes with 'on the nose' dialog. They only made it 3 hours long to give the impression it was 'epic' when it wasn't and isn't. Making Thor a laughing bafoon who gives up being king so he can continue being fat and lazy? If you can't kill your superheroes, turn them into rejects. They'll probably reboot all the characters like they did with Spiderman... again...and again...and again."
2,3-Aug-19,RetroRick,99,169,3,"downbeat, overblown & so so long. Cuts all your favourite characters down to size","Maybe I would have enjoyed this more if I were a real Marvel fanboy, although from reading the other reviews I might well have cause to doub that, but as someone coming to this film through all the hype, and the knowledge that this has just outgrossed Avatar in terms of the box office I am simply astonished how lacklustre this film is.Sometimes I dislike a film, and rail against it while secretly having quite enjoyed it, the objection being to some aspect of the film which annoyed me, maybe something ideological or political. But despite Marvel increasingly taking a political line on many things there is really very little in this film - at least on the surface - that one could find objectionable about it. In many ways in fact it is very routine and unobjectionable. But problem mainly relates to the film's obesity & overblown nature combined with a manufactured self-indulgence that was just annoying to watch.With respect to the latter this is mainly with reference to the final battle (where everyone who's anyone in the Marvel Universe makes an appearance) and the tying up of things in the post-coital glow: I get that this has been a long, epic and much loved journey for many film-goers, and also that fans will want a proper send-off etc for their favourites, but unfortunately this is done really badly, & inconceivably in an abrupt & unsatisfactory way, something that is hard to account for given the massive length of a movie that unfortunately in every other respect never ceased to feel slow and lumbering.In this regard we get some major goodbyes at the end with respect to characters who in this film at least we have seen for a matter of seconds. Essentially making any sense of this requires us to reference the history of these films, something which is simply bad & indulgent writing.The massive assembly of characters, particularly at the end, is supposed to be one of the pulls of the film, but instead it serves to make their appearance superficial and works to diminish them as individuals. Just imagine meeting your favourite Marvel comic book hero in real life: well, by the end of this film that actually sounds like a rather dull prospect: the overblown nature of the wrap-up diminishes everyone. Bringing them all together simply works to cancel out teir uniqueness & makes their fantastic and in their own right typically overblown powers (Captain Marvel especially) seem prosaic in juxtaposition with each other.But a bit of indulgence could be forgiven if the story was worth anything much. Unfortunately compared to Infinity, there's really very little to it. The time travel aspect to it was too referential with respect to other movies (self-referentiality hasn't really worked well since the Scream movies). Sometimes with these types of movies you get fans duking it out on account of whether an idea is plausible or not. Maybe that has been happening but if so I'd be surprised; the narrative device never seems to be taken particularly seriously & for that reason it's difficult for the audience to take it very seriously: the time travel aspect is simply what needs to happen in order to sort the situation out & the writers simply come up with necessary justificiation & a few quips to let us know that they know we've seen it all before a hundred times.A part of the problem here is that the character motivations while there on paper never really felt that real. Renner's character was perhaps the most convincing in describing the bleakness of the post-Infinity world, but it never really seemed quite enough. Half the universe wiped out - something worse than the Black Death or Mongol destruction at its worth - but it never seems like that big a deal. A tighter script, maybe focussed more on an aggrieved Renner or equivalent might have made it seem real & genuinely high stakes.Beyond that there was very little in the movie that was simply enjoyable, in the switch off your mind & enjoy the ride variety. Thor has already been emasculated - he is simply a fat slob, & for reasons presumably relating to the next Thor film - he never recovers except to discover some meaningless cliche about being himself instead of who he should be. Nebula although good, has too much screen time. Downey's Iron Man is never his old self at any time. Peter Parker's ok but not present for much of the movie & superfluous to the plot. Captain Marvel is basically Superman but with unpleasant attitude instead of character & functions entirely as a deus ex machine - a narrative device pretty much synonymous with copping out & failing as a writer.The only two characters who have a likeable part in the film pretty much are Antman, who gets a surprisingly large part in this movie, & the Hulk, whose initial appearance as a composite of Bruce Banner & the Hulk himself is actually genuinly intriguing for a short time. Unfortunately even this latter innovation works to diminish the character in the final battle where we don't even have the pleasure of seeing the Hulk properly smash everything up. Ultimately what is the point of a Hulk who is fully in control of himself?This is just a bad overblown movie that seems to take pleasure in down-sizing it's heroes in anticipation of a new greatly diminished future"
4,28-Apr-19,YourAverageReviewer,230,413,1,Way too many fanboys overlooking glaring issues,"I'd give this movie a 6/10 at best - it's a mindless action movie trying to be more and people seeing it as more.There's amazing CGI, and when you throw in countless superheros any cliche makes your ""hair stand up"". But for me, this entire film revolved around one-liner comedy in place of character development, and what it's known for best... mindless action.The action doesn't even have to make sense, like Thanos magically 1v5'ing with no infinity stones when in the previous film had issues 1v1'ing with stones. The entire movie is ""hype"" revolving around a ridiculous time ""heist"". They even made jokes about how stupid the idea is, and in 30 seconds Iron Man figures it out.This entire movies is cliches, re-used tropes, and one-liners used by familiar actors and amazing CGI. If that's all it takes to be great, good for you!"
4,1-Aug-19,phoenixinvictus,77,135,3,Was it just me or did Dr Strange give us the finger towards the end?,"Whaaaat? Time travel? Really? No way I saw 'this' coming... Except, I did. Oh no, Ironman and Black Widow are dead. Boohoo! Except nobody ever DIES in these movies (like the Red Skull-cough cough). They'll be brought back by some sort cloning technology or with some weird voodoo magic (...or time travel). It worked for Deadpool after all. The avengers literally couldn't go on any further. I mean the violence kind of escalated when they destroyed a city, then a small country, then a planet and finally the entire universe! You can't trump that! Although... Buffy the vampire slayer did save the multiverse. Was it just me or did Dr Strange gave the audience the literal finger towards the end? He did but this movie is PG13 so it wasn't that finger. Like everyone else who has a modicum of intelligence I too thought Thanos's motive was moronic as well as it was dumb. Try to follow my reasoning. He snaps his fingers and half the Universe's population is gone. What are the survivors going to do? Hmmm? The most logical thing is they will just breed again and then we're back to square one. We can't just assume that all species have the same gestation period as humans do. An elephant for instance has the gestation period of about 22 months, a whale about 16 months, a horse about 12 months, and cat and dogs about 58 DAYS... What about rabbits and rats? Oh about 22 days. My point is some species will repopulate their losses in a matter of days depending on how advanced their technology is or how fertile they are (we have no idea how aliens do their funny business and we don't want to know-just saying). So wiping out half the population isn't going to solve anything, quite the contrary. Humans would take about thirty to forty years to repopulate. In the meantime, you're going to have chaos and destruction following when people are suddenly disappearing when cars are suddenly crashing, planes are falling from the skies and nuclear reactors are going off or when nuclear silos are suddenly unguarded. All this would require more resources to be used to contain the chaos that would follow. Earth is tiny and we have limited resources, but the Universe has UNLIMITED resources! The Universe is very huge, LIKE HUMONGOUS HUGE! Any species that has mastered space technology can simply colonise an asteroid or planet and mine the heck out of it. Now, Thanos has a magic gauntlet which theoretically can give him whatever his giant heart desires. Even Thanos eventually acknowledges that his original plan is dumb and decides to recreate the Universe. Now THAT should have been his original plan. That I could understand. The Avengers used time travel to fix their problems... (Sigh-this is literally the laziest writing ever). The first time he snapped his fingers and kills half the Universe's population he becomes a gardener... A gardener! That is his endgame? Pointless genocide: check! Now I will go to my cucumber and tomato paradise: check! I wonder if Dr. Strange saw this in every one of his 14,000,605 outcomes and lost his mind. Did Dr Strange get so frustrated with all those versions ending up with Thanos gardening that he just gave up and gave him the stone? Why didn't Thanos dedicate himself to botany instead of being a warlord? I bet that by 14,000,606 it was the first time that it didn't end up with Thanos ending up in his cucumber and tomato paradise. So Ironman died because of some vegetables. That one version that Dr Strange wanted. Now let's talk about a geriatric Captain America (how did the writers come up this). Captain America goes back in time to be with the love of his life... How charming! Except that it isn't. He is a superhero with powers and knowledge of the future and the cold war and other really important stuff. Is he going to sit back while Hydra takes over SHIELD and destroys the very America he loves so much? What about Bucky who is being used as the Winter Soldier? I don't know about you but the Cap I know wouldn't just stand by and do nothing for 70 years. Hundreds of millions of dollars spent and twenty plus movies made just so Captain America could end up in a retirement home? No! Just no..."
5,30-Jul-19,dussaultjulien,115,210,1,Why?,"I hate how people are saying that this movie is epic, and that all the movies that preceded it were epic as well. There have only been a handful of Marvel movies that have actually been good, and this is not one of them.Marvel, like The Simpsons, has run out of ideas and is now running off of a therom. If it has the word marvel in it, then it will sell. The story does not matter only the name, and it's finally starting to show, as it has for The Simpsons for years now. And the announcement of new movies is now no longer exciting for me.Marvel honestly needs to take a step back and take their time in producing movies, as well as shows now too, like some of their most fantastic movies and shows, like the original Iron Man, Guardians of the Galaxy, Ant-Man, and even the Netflix Daredevil, which was surprisingly good and did a great job portraying the character. What the executives at Marvel don't seem to understand is that they in fact are not Epic, they're just putting trash out and unfortunately the masses are gobbling it up. Things become like goats, they'll eat anything that you put in front of them.End game is one of the most unimpressive movies I've seen in a very long time. I cannot believe that I wasted almost four hours of my life watching this horrible, sad excuse for a superhero movie, if you could even call it that. The only great thing about the past few Marvel movies is the memes that have come out of it. The Russo Brothers Legacy will be the memes that were made from their movies, not the story itself nor the movies. Just because you have the lucasfilm lighting, as well as the CGI company behind you does not make you amazing. What makes anything amazing, story-wise is a good story. End game doesn't even have that! They paid Robert Downey jr. 75 million dollars for the only good scene in the entire film, and it only lasts a couple of seconds. What a waste of money.For the love of God stop going to see Marvel movies and teach them a lesson to stop making horrible movies they aren't even superhero movies anymore. Stan Lee is gone, even when he was alive he didn't stop these terrible movies from being made, because he believed in Marvel and that it could change the world. In the beginning it did, with the Tobey Maguire Spider-Man's, Iron Man, and all of these amazing Marvel films that were actually well done and good. Stan Lee near the end, just produced these films because that's all that he knew to do. He inherently trusted these people to make great movies, and honestly they failed him and failed the original image of Marvel. Only the comics have stayed true, and even then they've come to PC for my liking, and it's so sad. Marvel won't be getting any more of my money. Hopefully you won't be giving any of yours to them anymore either. I am tired"
6,30-Apr-19,RIK-22,166,309,1,"Shallow, dull, boring, unemotional, rubbish","Warning spoilers a plenty.I thought it was utter rubbish, complete drivel. Nearly everything was off and wrong about this bore-fest.Almost nothing happened. It was so boring. Virtually the entire first 90 minutes could have been trimmed to about 15 mins.Pacing was terrible, it lost all momentum at times and was tedious.
6,4-May-19,kokorikos,169,292,2,time travel? ideal for plot holes!,"Time travel destroys any film...time travel doesnt exist in the physical world..its an invention of writers and authors to close plot holes and impress audiances...so, any film or book containing time travel, IS A MESS! so, i dont see any reason to grade this movie more than 2 stars...cgi, fights, ok , but a real good movie, must have a believable story! for me, sorry it didnt work...
7,30-Apr-19,vengeance20,80,145,2,"Too long, Overrated, Mediocre, Badly Paced, Etc","Couldn't believe how long this film was when I heard! 3 hours is just overwhelmingly bad if you ask me but still considering that I seen the previous 3 films I had to give this one a chance at least once.Went into this knowing the torture of watching a 3 hour film with an over stretched story line, plot holes galore, dragged scenes & political correctness shoved down your throat & that wasn't even the icing on the cake!But then after watching I found the film was below 3 hours. Actually, it was 2 hours & 49 minutes in total, but that's no far off the 3 hour mark. The film itself was ok & I mean below mediocre at best & at worst overrated!The story-line was easy enough to follow, but still had some confusing points which weren't well executed. Like the part where they traveled back in time & they were fighting their past selves. Other plot points too which didn't illustrate well what was happening or what was what.The run time which is obviously the biggest let down also contributed to the dragging nature which stretched out a story-line so simple it could've snapped! The ending especially was like watching paint dry in slow motion & my arse felt pretty numb when I left the cinema.There was some good action parts but there isn't much goes to say about this film or others like it which are clearly forgettable & loaded with confusing story-lines, details & sci-fi overkill.I also didn't appreciate the political correctness & female feminazi empowerment in this film which I seen twice at the finale part. A black woman at the end being ""king"" or ""leader"" of the land instead of Thor really? I don't know... I'd say that political correctness itself is just part of the issue I have with these films overall. It needs to stop!Overall not good & seriously over hyped for what it is! I can safely say these films have gone down hill since the beginning of the 2010's. They've delved into too much sci-fi, complicated story-lines with too much details, are too up in the air & not grounded enough & are riddled with political correctness! It's just sad as the classics before it were so much better & watchable, if not RE-watchable!The 10/10 reviews are clearly fake & once again proves just how biased the rating system has become with paid reviewers giving this junk anything over what I've rated it as. More honesty & less BS.2/10"
7,21-Feb-21,donnodcassandra-41099,51,86,2,Wanda could just end the war!!!,"OK I liked the movie , it was the first movie with someone die for no reason that I liked ( no reason meaning it could be an other way , much easier way) the past Avengers movies was like "" Nah! well ok"" Cause you know the whole ""EVERYONE WILL DIE "" was a little bit not so ok . Second thing if Wanda just did what she did in the mini series everyone would be fine! I am not gonna say what she did for the spoilers, but nooo they wanted someone to die and of course it wasn't Spiderman which I realy hate ( He is annoying) it was Iron man , my favourite heroe , thank you Marvel for destroying my childhood . Everyone is like "" He is a hero , he saved everyone "" Nooo its not like that , Wanda could be the hero without dying!!! Or Captain Marvel to absolve all the jem power out of the glove BUT NOO someone had to die right? But if we don't see that part the rest of the movie was AWSOME!!!!"
8,5-Nov-20,deeznutz-09839,78,138,1,I thought the mcu would change,"I thought the mcu was going to change after infinity war but this garbage proved me wrong. I thought they would stop doing the same generic garbage crap after infinity war but nope. Tbh it still hurts that's they reversed infinity war, infinity war would still be a 10/10 if they didn't reverse it and I'd be a marvel fan boy but nope, they just had to turn to this garbage again."
